x,y,z
1.1183578,0.83805656,2.1953502
0.0672978,0.8949036,2.0323825
-0.9225594,0.9240308,2.0493653
1.0758073,0.25927913,3.0501995
2.0969977,0.21005575,3.015761
0.04421264,0.36233866,2.8692222
-0.9609448,0.39979324,2.870178
1.024831,-0.22232126,3.7442913
2.0226245,-0.2833227,3.7491498
0.0112127,-0.13162413,3.6294796
-0.9805564,-0.11754084,3.6892803
-1.995275,-0.0927367,3.7258332
1.001955,-0.72603333,4.532746
1.9799633,-0.7977575,4.5570397
2.9665596,-0.84211385,4.549999
-0.01638636,-0.66478384,4.5226116
-0.9721422,-0.60397005,4.4194255
-1.9525054,-0.59520227,4.4853983
-2.9149892,-0.55652446,4.4732213
0.9422576,-1.2363856,5.325745
1.9395658,-1.3076084,5.3817163
2.9828267,-1.3936366,5.4677258
-0.0635782,-1.1738366,5.313871
-1.0416982,-1.1350578,5.3026085
-1.9670066,-1.0929487,5.2206397
-2.9484127,-1.0791948,5.285016
0.9065039,-1.7308937,6.072861
1.9307001,-1.864239,6.2551
3.0175683,-2.0124323,6.456547
-0.06967857,-1.6318805,5.983842
-1.0560803,-1.6498045,6.1234164
-2.0188494,-1.6080718,6.0931153
-3.1264334,-1.6721181,6.3373666
0.90505004,-2.3555577,7.1797023
1.8400785,-2.2986598,6.9037657
2.8879802,-2.4102037,7.043124
-0.10944068,-2.255657,7.0891576
-1.1300341,-2.1993566,7.0592027
-2.1141958,-2.1829574,7.0569773
-3.137188,-2.213695,7.1456738
